CompName,Expt,Mannhold_LogP,Atomic_Polarizabilities,Aromatic_Atoms_Count,Aromatic_Bonds_Count,Element_Count,Bond_Polarizabilities,Bond_Count,Eccentric_Connectivity_Index,Fragment_Complexity,VABC_Volume_Descriptor,Hydrogen_Bond_Acceptors,Hydrogen_Bond_Donors,Largest_Chain,Largest_Pi_Chain,Petitjean_Number,Rotatable_Bonds_Count,Lipinski's_Rule_of_Five,Topological_Polar_Surface_Area,Vertex_adjacency_information_magnitude,Molecular_Weight,XLogP,Zagreb_Index,Formal_Charge,Formal_Charge_(pos),Formal_Charge_(neg),Heavy_Atoms_Count,Molar_Mass,SP3_Character
train1,0,2.12,26.4747,9,10,23,14.6653,13,139,444.03,140.1518,2,1,3,9,0.4286,3,0,43.32,4.7004,161.0953,1.677,60,0,0,0,12,161.2041,0.087
train2,0,2.45,44.3731,6,6,38,24.5489,19,343,1102.05,275.8973,3,1,7,7,0.5,12,0,40.54,5.2479,303.0793,3.926,84,0,0,0,19,304.2126,0.1842
train3,0,1.79,32.4075,9,10,29,20.9745,19,260,689.07,182.4588,5,2,2,10,0.4444,4,0,93.29,5.2479,236.0909,0.196,92,0,0,0,17,236.2277,0.1724
train4,0,2.89,50.5967,15,16,41,23.7233,27,476,1249.06,305.0514,3,1,3,18,0.5,8,0,68.53,5.7549,357.0768,3.418,132,0,0,0,25,357.7883,0.0732
train5,0,2.89,64.9674,17,17,56,40.6106,31,944,2552.08,382.8844,4,2,5,8,0.5,13,0,112.35,5.9542,413.1885,3.118,144,0,0,0,29,413.5383,0.1429
train6,0,2.01,47.2554,5,5,43,32.8026,21,458,1429.08,283.1958,3,2,9,7,0.5,14,0,108.88,5.3923,314.1413,1.282,94,1,2,-1,21,314.4054,0.1395
train7,0,1.9,18.7268,6,6,16,7.5172,10,76,166.03,122.1967,2,2,3,10,0.4,3,0,57.53,4.3219,138.0317,1.66,46,0,0,0,10,138.121,0
train8,0,2.45,43.9154,6,6,41,26.9246,19,374,1339.05,265.2622,4,3,7,7,0.4615,11,0,84.58,5.2479,266.163,0.461,86,0,0,0,19,266.3366,0.1707
train9,0,2.34,32.4615,11,11,26,16.0585,15,200,547.03,179.6196,2,1,3,11,0.4444,4,0,67.15,4.9069,204.0721,1.771,68,0,0,0,14,204.2929,0.0769
train10,0,1.9,45.2487,11,11,38,23.0713,23,444,1059.09,264.3734,8,6,6,21,0.4615,8,1,141.02,5.5236,316.1219,1.633,106,0,0,0,22,316.3863,0.0263
train11,0,3.44,71.5742,21,22,60,40.3838,35,1131,2977.07,412.5422,3,2,5,10,0.4762,12,1,99.46,6.1293,448.1933,5.321,164,0,0,0,32,448.5824,0.1167
train12,0,3,65.499,11,11,57,41.839,30,917,2725.07,376.7306,5,2,5,6,0.5,13,0,90.99,5.9069,399.2093,1.725,138,0,0,0,28,399.5547,0.1579
