CompName,Expt,SlogP,SMR,LabuteASA,TPSA,AMW,ExactMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumAmideBonds,NumHeteroAtoms,NumHeavyAtoms,NumAtoms,NumStereocenters,NumUnspecifiedStereocenters,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles,FractionCSP3,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,Chi1n,Chi2n,Chi3n,Chi4n,HallKierAlpha,kappa1,kappa2,kappa3,slogp_VSA1,slogp_VSA2,slogp_VSA3,slogp_VSA4,slogp_VSA5,slogp_VSA6,slogp_VSA7,slogp_VSA8,slogp_VSA9,slogp_VSA10,slogp_VSA11,slogp_VSA12,smr_VSA1,smr_VSA2,smr_VSA3,smr_VSA4,smr_VSA5,smr_VSA6,smr_VSA7,smr_VSA8,smr_VSA9,smr_VSA10,peoe_VSA1,peoe_VSA2,peoe_VSA3,peoe_VSA4,peoe_VSA5,peoe_VSA6,peoe_VSA7,peoe_VSA8,peoe_VSA9,peoe_VSA10,peoe_VSA11,peoe_VSA12,peoe_VSA13,peoe_VSA14,MQN1,MQN2,MQN3,MQN4,MQN5,MQN6,MQN7,MQN8,MQN9,MQN10,MQN11,MQN12,MQN13,MQN14,MQN15,MQN16,MQN17,MQN18,MQN19,MQN20,MQN21,MQN22,MQN23,MQN24,MQN25,MQN26,MQN27,MQN28,MQN29,MQN30,MQN31,MQN32,MQN33,MQN34,MQN35,MQN36,MQN37,MQN38,MQN39,MQN40,MQN41,MQN42
train1,0,0.8355,47.9504,70.839,43.32,161.208,161.0953,3,2,2,1,3,0,3,12,23,0,0,2,2,0,0,2,0,0,0,0,0,0.2222,6.7727,4.0264,2.737,1.8144,1.2555,4.0264,2.737,1.8144,1.2555,-1.35,7.3072,2.948,1.1871,5.7337,15.9294,6.4208,0,5.6939,30.5928,0,5.6472,0,0,0,0,0,0,9.3847,5.7337,6.4208,6.5448,36.2867,0,0,5.6472,10.1344,0,4.984,0,0,6.0664,18.6775,18.8145,5.6939,5.6472,0,0,0,0,9,0,0,0,0,0,0,1,2,0,0,12,3,0,0,5,5,0,2,3,3,2,1,0,0,1,2,0,0,6,3,0,0,0,1,1,0,0,0,0,2,1
train2,0,3.3779,80.6688,123.6731,40.54,304.217,303.0793,3,1,9,1,2,0,5,19,38,0,0,1,1,0,0,0,0,0,1,0,0,0.5,12.3296,7.4158,5.0347,3.2045,2.2993,6.3468,4.2788,2.8664,1.8912,-0.93,16.1253,9.0503,6.1681,4.8999,35.9254,11.2154,0,18.4051,24.2655,0,0,0,5.6874,0,23.2019,9.9011,0,0,0,19.2625,29.7494,29.8289,0,0,34.8586,10.0064,4.7945,0,0,23.2019,12.1327,30.5378,36.9577,0,0,0,0,0,5.9693,14,0,2,0,0,0,0,1,0,2,0,19,12,1,0,3,3,0,9,5,3,1,1,0,0,4,7,2,0,4,2,0,0,0,0,1,0,0,0,0,0,0
train3,0,0.2018,57.2176,96.712,93.29,236.231,236.0909,7,2,2,2,7,0,7,17,29,2,2,3,2,1,1,2,1,1,0,0,0,0.5,9.0223,5.4214,3.994,2.9385,2.076,5.4214,3.994,2.9385,2.076,-1.73,10.4256,3.9351,1.6331,0,42.4429,4.7369,0,19.0695,12.6546,0,11.1639,0,0,5.88,0,14.9499,0,19.519,0,25.1735,6.6069,12.6546,0,5.88,11.1639,14.9499,4.5671,9.968,4.984,0,0,12.8416,0,19.0382,12.5552,11.1639,5.88,0,0,10,0,0,0,0,0,0,0,4,2,1,17,4,0,0,10,5,0,2,10,7,2,2,0,0,2,1,0,0,8,6,0,0,0,2,1,0,0,0,0,2,1
train4,0,3.92732,95.7473,148.9481,68.53,357.793,357.0768,5,1,4,1,4,0,6,25,41,0,0,3,3,0,0,1,0,0,2,0,0,0.1579,14.5016,7.9985,6.1014,4.4161,3.073,7.6205,5.665,4.1642,2.947,-2.79,17.0467,6.6072,3.1047,4.7369,28.6599,11.2154,6.9237,21.6154,42.4646,5.0226,10.9029,0,0,5.7495,11.6009,19.4325,0,4.5671,0,13.3446,7.1098,64.308,0,5.7495,34.3803,9.8434,14.1562,0,0,0,11.6009,54.9518,21.6662,19.0473,5.7495,0,0,5.9072,5.9693,19,0,1,0,0,0,0,0,1,4,0,25,9,2,0,8,8,0,4,9,5,1,1,0,0,6,2,2,0,7,8,0,0,0,1,2,0,0,0,0,2,1
train5,0,3.06402,117.3884,174.5127,87.05,413.547,413.1885,7,2,10,2,7,0,8,29,56,0,0,3,3,0,0,3,0,0,0,0,0,0.381,17.8825,10.6893,8.2544,5.1923,3.5209,9.5346,7.1492,4.2109,2.7739,-2.58,21.1366,10.2696,6.7586,10.8761,46.2448,18.7184,6.9237,28.3413,45.8708,0,0,0,5.9483,0,11.7619,4.4172,0,19.8518,0,25.6422,31.7097,75.3543,0,0,17.7102,19.6178,9.7785,0,16.7459,0,6.0664,44.7816,42.3695,12.2976,11.5205,0,5.9483,5.5593,0,21,0,0,0,0,1,0,2,3,1,1,29,13,1,0,9,8,0,10,9,7,2,2,0,0,4,7,1,0,10,7,0,0,0,1,2,0,0,0,0,0,0
train6,0,1.46889,84.0988,128.4563,83.58,313.403,313.1329,7,2,10,2,7,0,8,21,42,0,0,1,1,0,0,1,0,0,0,0,0,0.4615,13.2746,7.5105,5.5127,3.232,2.1729,6.4618,4.5354,2.3932,1.5442,-1.8,17.2521,9.1939,7.5214,10.6336,43.2638,6.5448,15.8672,11.5205,28.5708,0,0,0,0,0,11.7619,9.3405,0,15.5335,0,6.5448,33.4406,51.5413,0,0,11.7619,19.9506,10.1143,0,0,0,0,25.8572,19.3453,17.5344,17.5795,5.821,0,11.9602,0,13,0,0,0,0,1,0,4,0,2,1,21,14,2,0,3,2,0,10,11,7,2,2,1,2,5,8,3,0,3,2,0,0,0,1,0,0,0,0,0,0,0
train7,0,1.0904,35.0661,57.5463,57.53,138.122,138.0317,3,2,1,2,2,0,3,10,16,0,0,1,1,0,0,0,0,0,1,0,0,0,5.1121,2.7287,1.8223,1.1345,0.6545,2.7287,1.8223,1.1345,0.6545,-1.51,6.6078,2.3896,1.0749,0,16.1824,0,0,10.358,24.2655,0,0,0,0,5.7495,0,15.0076,0,0,0,0,0,29.8289,0,5.7495,5.9693,10.2131,0,4.7945,0,0,12.1327,12.1327,0,0,11.313,0,0,0,5.9693,7,0,0,0,0,0,0,0,0,3,0,10,3,1,0,3,3,0,1,6,3,2,2,0,0,3,0,1,0,4,2,0,0,0,0,1,0,0,0,0,0,0
train8,0,0.4521,73.9809,113.31,84.58,266.341,266.163,5,4,8,3,4,1,5,19,41,1,1,1,1,0,0,0,0,0,1,0,0,0.5,11.4265,6.3857,4.8148,2.5058,1.5278,6.3857,4.8148,2.5058,1.5278,-1.59,15.4674,7.7594,6.785,15.7873,36.3112,11.2154,0,19.4109,24.2655,0,0,0,0,5.7495,0,14.6379,0,5.3168,5.7337,32.4141,13.1516,29.8289,0,5.7495,5.9072,20.8938,4.7945,0,0,0,25.9802,17.6962,12.5866,6.4208,18.4604,0,5.9072,0,0,14,0,0,0,0,0,0,2,0,3,0,19,12,1,0,3,3,0,8,8,5,4,3,0,0,5,5,3,0,4,2,0,0,0,0,1,0,0,0,0,0,0
train9,0,2.3113,60.3084,87.4183,38.91,204.298,204.0721,2,2,3,1,3,0,3,14,26,0,0,2,2,0,0,1,0,0,1,0,0,0.1818,8.6276,5.4779,3.9738,2.8881,2.1139,4.5982,3.0312,1.9795,1.2907,-1.19,9.3683,4.3508,1.9995,5.7337,11.5287,6.4208,0,5.0076,35.7119,0,11.2574,0,0,0,11.3368,0,0,4.984,5.7337,6.4208,6.5448,40.7195,0,11.2574,11.3368,5.7337,0,4.984,0,11.3368,30.3318,6.5448,17.3643,10.7016,0,0,0,0,0,11,0,0,0,0,1,0,1,1,0,0,14,4,0,0,6,5,0,3,2,2,2,1,0,0,1,2,0,0,8,3,0,0,0,1,1,0,0,0,0,0,0
train10,0,1.18338,88.7502,130.771,137.5,314.378,314.1062,8,6,3,4,5,0,9,22,36,0,0,2,2,0,0,1,0,0,1,0,0,0.0769,12.5551,7.0721,4.9048,3.271,2.363,6.1925,4.0682,2.5365,1.648,-3.12,15.2723,7.0511,3.9374,22.1009,23.9508,0,11.455,0,39.6303,0,11.2574,0,10.8189,0,11.3368,0,5.2619,10.3008,21.4521,0,12.3645,29.6455,0,17.4505,34.0748,22.1009,0,4.984,10.2543,16.3292,12.1327,12.1327,23.6786,5.6939,0,5.9596,17.2843,0,0,13,0,0,0,0,1,0,7,1,0,0,22,9,2,1,6,5,0,3,8,8,6,4,0,0,4,5,2,0,7,4,0,0,0,1,1,0,0,0,0,0,0
